,word,frequency
0,not,1007
1,she,978
2,you,707
3,all,398
4,my,387
5,very,373
6,no,293
7,me,283
8,will,255
9,more,218
10,herself,180
11,think,155
12,never,144
13,know,141
14,own,138
15,soon,135
16,most,133
17,we,123
18,well,119
19,without,117
20,sister,116
21,great,108
22,see,106
23,make,105
24,good,104
25,nothing,102
26,young,101
27,day,99
28,first,97
29,family,97
30,dear,92
31,cannot,89
32,always,85
33,friend,85
34,us,78
35,last,74
36,thought,74
37,wish,74
38,father,73
39,house,73
40,hope,72
41,better,71
42,pleasure,70
43,sure,70
44,ladies,69
45,myself,68
46,give,67
47,up,67
48,replied,66
49,mother,64
50,love,63
51,like,60
52,cried,60
53,believe,56
54,sisters,56
55,done,56
56,morning,55
57,indeed,55
58,evening,54
59,answer,50
60,aunt,49
61,certainly,49
62,our,47
63,happiness,47
64,party,47
65,found,46
66,conversation,46
67,home,46
68,down,45
69,present,45
70,life,45
71,least,44
72,seeing,44
73,visit,44
74,walk,44
75,mind,42
76,happy,42
77,brother,41
78,idea,41
79,together,41
80,find,40
81,woman,40
82,world,40
83,lady,39
84,manners,39
85,kind,39
86,girls,39
87,gave,38
88,pride,38
89,daughter,38
90,friends,38
91,people,37
92,against,37
93,daughters,36
94,country,36
95,affection,36
96,eyes,36
97,heart,35
98,ill,35
99,possible,35
100,received,35
101,cousin,34
102,perfectly,34
103,wife,33
104,walked,33
105,ball,33
106,best,33
107,handsome,33
108,fortune,33
109,able,32
110,talking,32
111,gone,32
112,dance,31
113,certain,31
114,uncle,30
115,carriage,30
116,invitation,30
117,hardly,30
118,read,30
119,help,30
120,glad,30
121,deal,30
122,honour,29
123,gentlemen,29
124,right,29
125,marriage,29
126,power,29
127,surprised,28
128,air,28
129,wished,28
130,sorry,28
131,impossible,28
132,answered,27
133,engaged,27
134,making,26
135,fine,26
136,pleased,26
137,sense,26
138,mean,26
139,husband,25
140,younger,25
141,highly,25
142,everybody,25
143,yourself,25
144,spirits,25
145,doubt,25
146,talk,25
147,rest,25
148,occasion,25
149,gentleman,24
